evaluation,official_delay_weeks,model,horizon,WIS,activity
temporal_external_2025_2026,2,seasonal_naive,4,0.7798827675400961,high
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,0.1142844560527464,non_high
rolling_window_cv,0,bioepi_safe_lstm_common_scale,2,0.16777468626955286,non_high
rolling_window_cv,0,bioepi_safe_lstm_common_scale,3,0.1940736594343858,non_high
rolling_window_cv,0,bioepi_safe_lstm_common_scale,4,0.23593497754299775,non_high
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,1,0.11517542894859299,non_high
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,2,0.16095991788057018,non_high
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,3,0.1763197183265763,non_high
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,4,0.23164140222680416,non_high
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,1,0.1141338754025445,non_high
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,2,0.158125589740177,non_high
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,3,0.18542577478339037,non_high
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,4,0.2164761464159375,non_high
rolling_window_cv,0,gb_full_raw,1,0.24551729624284532,non_high
rolling_window_cv,0,gb_full_raw,2,0.37957977945053356,non_high
rolling_window_cv,0,gb_full_raw,3,0.3377933282197101,non_high
rolling_window_cv,0,gb_full_raw,4,0.3925347380813151,non_high
rolling_window_cv,0,persistence,1,0.12871879332857064,non_high
rolling_window_cv,0,persistence,2,0.19129521782324155,non_high
